b,d,converted,firstBit,secondBit,thirdBit,firstBitInvert,secondBitInvert,thirdBitInvert
263,176.21894736842106,10113421.05263158,0.0034210526315789,1.0,1.0,0.9965789473684211,0.0,0.0
264,176.18526315789472,10112894.736842103,0.0028947368421052,1.0,1.0,0.9971052631578948,0.0,0.0
265,176.30315789473684,10114736.842105264,0.0047368421052631,1.0,1.0,0.9952631578947368,0.0,0.0
266,176.06736842105263,10111052.631578946,0.0010526315789473,1.0,1.0,0.9989473684210527,0.0,0.0
267,176.18526315789472,10112894.736842103,0.0028947368421052,1.0,1.0,0.9971052631578948,0.0,0.0
268,176.05052631578948,10110789.47368421,0.0007894736842105,1.0,1.0,0.9992105263157895,0.0,0.0
269,176.0842105263158,10111315.789473685,0.0013157894736842,1.0,1.0,0.9986842105263158,0.0,0.0
270,176.0842105263158,10111315.789473685,0.0013157894736842,1.0,1.0,0.9986842105263158,0.0,0.0
271,176.0842105263158,10111315.789473685,0.0013157894736842,1.0,1.0,0.9986842105263158,0.0,0.0
272,176.0,10110000.0,0.0,1.0,1.0,1.0,0.0,0.0
273,176.0,10110000.0,0.0,1.0,1.0,1.0,0.0,0.0
274,176.0336842105263,10110526.315789474,0.0005263157894736,1.0,1.0,0.9994736842105264,0.0,0.0
275,176.0336842105263,10110526.315789474,0.0005263157894736,1.0,1.0,0.9994736842105264,0.0,0.0
276,176.0336842105263,10110526.315789474,0.0005263157894736,1.0,1.0,0.9994736842105264,0.0,0.0
277,176.0336842105263,10110526.315789474,0.0005263157894736,1.0,1.0,0.9994736842105264,0.0,0.0
278,176.0,10110000.0,0.0,1.0,1.0,1.0,0.0,0.0
279,176.01684210526315,10110263.157894736,0.0002631578947368,1.0,1.0,0.9997368421052631,0.0,0.0
280,176.01684210526315,10110263.157894736,0.0002631578947368,1.0,1.0,0.9997368421052631,0.0,0.0
281,176.0,10110000.0,0.0,1.0,1.0,1.0,0.0,0.0
282,176.0,10110000.0,0.0,1.0,1.0,1.0,0.0,0.0
283,176.0,10110000.0,0.0,1.0,1.0,1.0,0.0,0.0
284,176.01684210526315,10110263.157894736,0.0002631578947368,1.0,1.0,0.9997368421052631,0.0,0.0
285,176.0,10110000.0,0.0,1.0,1.0,1.0,0.0,0.0
286,176.0,10110000.0,0.0,1.0,1.0,1.0,0.0,0.0
287,175.89473684210526,10096039.47368421,0.0018421052631578,1.0,0.9986842105263158,0.9981578947368422,0.0,0.001315789473684159
